iter	Passed	Remaining
0	0	356
1	0	304
2	0	271
3	1	253
4	1	246
5	1	233
6	1	230
7	1	224
8	2	223
9	2	218
10	2	218
11	2	211
12	2	210
13	2	203
14	3	202
15	3	201
16	3	198
17	3	196
18	3	195
19	3	192
20	4	192
21	4	189
22	4	189
23	4	188
24	4	188
25	4	187
26	5	182
27	5	182
28	5	182
29	5	181
30	5	180
31	5	179
32	6	178
33	6	178
34	6	177
35	6	177
36	6	177
37	6	176
38	7	176
39	7	174
40	7	174
41	7	173
42	7	173
43	7	172
44	8	172
45	8	171
46	8	171
47	8	170
48	8	169
49	8	168
50	9	168
51	9	168
52	9	168
53	9	168
54	9	169
55	10	169
56	10	169
57	10	168
58	10	168
59	10	167
60	10	166
61	11	166
62	11	166
63	11	165
64	11	164
65	11	164
66	11	164
67	12	164
68	12	165
69	12	164
70	12	164
71	12	164
72	12	164
73	13	165
74	13	166
75	13	166
76	13	164
77	13	165
78	14	166
79	14	167
80	14	169
81	15	170
82	15	170
83	15	171
84	15	172
85	16	171
86	16	171
87	16	170
88	16	171
89	16	171
90	17	171
91	17	170
92	17	170
93	17	170
94	17	171
95	18	171
96	18	172
97	18	172
98	18	172
99	19	172
100	19	173
101	19	173
102	19	173
103	20	173
104	20	174
105	20	173
106	20	174
107	21	174
108	21	174
109	21	175
110	21	174
111	21	174
112	22	173
113	22	174
114	22	174
115	22	174
116	23	173
117	23	173
118	23	173
119	23	173
120	23	172
121	23	171
122	24	171
123	24	171
124	24	170
125	24	170
126	24	169
127	24	169
128	25	169
129	25	169
130	25	168
131	25	169
132	25	169
133	26	168
134	26	168
135	26	168
136	26	169
137	27	169
138	27	169
139	27	169
140	28	170
141	28	170
142	28	171
143	28	171
144	29	171
145	29	171
146	29	171
147	29	171
148	30	171
149	30	171
150	30	171
151	30	171
152	30	171
153	31	171
154	31	171
155	31	172
156	32	173
157	32	172
158	32	172
159	32	172
160	33	172
161	33	171
162	33	171
163	33	170
164	33	170
165	33	170
166	34	170
167	34	169
168	34	169
169	34	168
170	34	168
171	34	168
172	35	167
173	35	167
174	35	166
175	35	166
176	35	165
177	35	165
178	36	165
179	36	165
180	36	164
181	36	164
182	36	164
183	36	164
184	37	163
185	37	163
186	37	164
187	37	163
188	38	163
189	38	163
190	38	163
191	38	163
192	39	163
193	39	163
194	39	163
195	39	163
196	40	163
197	40	163
198	40	163
199	40	162
200	40	162
201	41	162
202	41	162
203	41	162
204	41	162
205	42	162
206	42	162
207	42	162
208	42	162
209	42	161
210	43	161
211	43	161
212	43	160
213	43	160
214	43	160
215	44	160
216	44	159
217	44	159
218	44	159
219	44	159
220	45	158
221	45	158
222	45	158
223	45	158
224	45	158
225	46	157
226	46	157
227	46	156
228	46	156
229	46	156
230	47	156
231	47	156
232	47	156
233	47	156
234	47	155
235	48	156
236	48	155
237	48	155
238	48	155
239	49	155
240	49	155
241	49	154
242	49	155
243	49	154
244	50	154
245	50	154
246	50	153
247	50	153
248	50	153
249	51	153
250	51	153
251	51	152
252	51	152
253	51	152
254	52	152
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	149
263	53	149
264	53	149
265	54	149
266	54	149
267	54	149
268	55	149
269	55	149
270	55	149
271	55	149
272	55	148
273	56	148
274	56	148
275	56	148
276	56	148
277	57	148
278	57	148
279	57	148
280	57	147
281	57	147
282	58	147
283	58	147
284	58	146
285	58	146
286	58	146
287	59	146
288	59	146
289	59	145
290	59	145
291	60	145
292	60	145
293	60	144
294	60	144
295	60	144
296	61	144
297	61	144
298	61	143
299	61	143
300	61	143
301	61	143
302	62	142
303	62	142
304	62	143
305	62	142
306	63	142
307	63	142
308	63	142
309	63	141
310	64	141
311	64	141
312	64	141
313	64	141
314	65	141
315	65	141
316	65	140
317	65	140
318	65	140
319	66	140
320	66	140
321	66	139
322	66	139
323	67	139
324	67	139
325	67	139
326	67	139
327	67	138
328	67	138
329	68	138
330	68	137
331	68	137
332	68	137
333	68	136
334	68	136
335	68	136
336	68	135
337	69	135
338	69	134
339	69	134
340	69	134
341	69	133
342	69	133
343	69	133
344	70	132
345	70	132
346	70	132
347	70	131
348	70	131
349	70	131
350	70	131
351	71	130
352	71	130
353	71	130
354	71	129
355	71	129
356	71	129
357	71	128
358	71	128
359	72	128
360	72	127
361	72	127
362	72	127
363	72	126
364	72	126
365	72	126
366	73	126
367	73	125
368	73	125
369	73	125
370	73	124
371	73	124
372	73	124
373	74	124
374	74	123
375	74	123
376	74	123
377	74	122
378	74	122
379	74	122
380	75	121
381	75	121
382	75	121
383	75	121
384	75	120
385	75	120
386	75	120
387	76	119
388	76	119
389	76	119
390	76	119
391	76	118
392	76	118
393	76	118
394	76	117
395	77	117
396	77	117
397	77	117
398	77	116
399	77	116
400	77	116
401	77	115
402	78	115
403	78	115
404	78	115
405	78	114
406	78	114
407	78	114
408	78	114
409	79	113
410	79	113
411	79	113
412	79	112
413	79	112
414	79	112
415	79	112
416	79	111
417	80	111
418	80	111
419	80	111
420	80	110
421	80	110
422	80	110
423	80	109
424	81	109
425	81	109
426	81	109
427	81	108
428	81	108
429	81	108
430	82	108
431	82	107
432	82	107
433	82	107
434	82	107
435	82	106
436	82	106
437	82	106
438	83	106
439	83	105
440	83	105
441	83	105
442	83	105
443	83	104
444	83	104
445	84	104
446	84	104
447	84	103
448	84	103
449	84	103
450	84	103
451	84	102
452	85	102
453	85	102
454	85	102
455	85	101
456	85	101
457	85	101
458	85	101
459	86	100
460	86	100
461	86	100
462	86	100
463	86	100
464	86	99
465	86	99
466	87	99
467	87	99
468	87	98
469	87	98
470	87	98
471	87	98
472	87	97
473	88	97
474	88	97
475	88	97
476	88	96
477	88	96
478	88	96
479	88	96
480	88	95
481	89	95
482	89	95
483	89	95
484	89	95
485	89	94
486	89	94
487	89	94
488	90	94
489	90	93
490	90	93
491	90	93
492	90	93
493	90	92
494	90	92
495	91	92
496	91	92
497	91	91
498	91	91
