iter	Passed	Remaining
0	0	359
1	0	394
2	1	386
3	1	384
4	1	378
5	2	371
6	2	340
7	2	347
8	3	336
9	3	339
10	3	350
11	4	331
12	4	335
13	4	337
14	5	339
15	5	342
16	5	343
17	6	342
18	6	340
19	6	335
20	7	337
21	7	331
22	7	331
23	7	323
24	8	323
25	8	323
26	8	323
27	9	322
28	9	324
29	10	323
30	10	323
31	10	325
32	11	326
33	11	328
34	12	331
35	12	334
36	13	338
37	13	337
38	13	342
39	14	341
40	14	342
41	15	343
42	15	342
43	15	343
44	16	343
45	16	343
46	16	341
47	17	342
48	17	343
49	17	340
50	18	341
51	18	337
52	18	338
53	19	338
54	19	337
55	20	337
56	20	335
57	20	338
58	21	338
59	21	337
60	21	336
61	22	333
62	22	335
63	23	338
64	23	339
65	24	343
66	24	342
67	24	341
68	25	340
69	25	339
70	25	337
71	26	336
72	26	338
73	27	338
74	27	338
75	28	342
76	28	341
77	28	341
78	29	344
79	30	345
80	30	342
81	30	342
82	30	340
83	31	339
84	31	337
85	31	336
86	31	334
87	32	333
88	32	331
89	32	330
90	32	328
91	33	327
92	33	325
93	33	324
94	33	323
95	34	321
96	34	320
97	34	319
98	34	317
99	35	316
100	35	314
101	35	313
102	35	312
103	36	310
104	36	309
105	36	308
106	36	307
107	37	305
108	37	305
109	37	303
110	37	302
111	38	301
112	38	301
113	38	299
114	38	298
115	38	296
116	39	296
117	39	295
118	39	293
119	39	293
120	40	291
121	40	290
122	40	289
123	40	288
124	41	287
125	41	286
126	41	285
127	41	284
128	42	283
129	42	282
130	42	282
131	42	281
132	43	280
133	43	279
134	43	278
135	43	277
136	44	277
137	44	276
138	44	275
139	44	274
140	44	273
141	45	273
142	45	272
143	45	271
144	45	270
145	46	269
146	46	269
147	46	268
148	46	267
149	46	266
150	47	265
151	47	264
152	47	263
153	47	263
154	48	262
155	48	261
156	48	261
157	48	260
158	49	260
159	49	259
160	49	258
161	49	257
162	50	257
163	50	256
164	50	255
165	50	255
166	51	254
167	51	254
168	51	253
169	51	253
170	52	252
171	52	251
172	52	251
173	52	250
174	53	250
175	53	249
176	53	248
177	53	248
178	54	247
179	54	247
180	54	246
181	54	245
182	54	245
183	55	244
184	55	244
185	55	243
186	55	243
187	56	242
188	56	241
189	56	241
190	56	240
191	57	240
192	57	239
193	57	239
194	57	238
195	58	238
196	58	238
197	58	237
198	58	237
199	59	236
200	59	236
201	59	235
202	60	235
203	60	235
204	60	234
205	60	234
206	61	233
207	61	233
208	61	233
209	61	232
210	62	232
211	62	231
212	62	231
213	62	231
214	63	230
215	63	230
216	63	229
217	63	229
218	64	228
219	64	228
220	64	227
221	64	227
222	65	226
223	65	226
224	65	226
225	65	225
226	66	225
227	66	224
228	66	224
229	66	224
230	67	223
231	67	223
232	67	223
233	68	222
234	68	222
235	68	221
236	68	221
237	69	220
238	69	220
239	69	220
240	69	219
241	70	219
242	70	219
243	70	219
244	70	218
245	71	218
246	71	217
247	71	217
248	71	217
249	72	216
250	72	216
